round,tile,deal_in_count,round_total,rate_%
3,6p,22971,644324,3.5651318280864905
3,4s,22951,644324,3.5620277996784226
3,2p,17154,644324,2.6623251655999156
3,1s,16308,644324,2.5310247639386394
3,1m,16195,644324,2.513487003433055
3,9p,16192,644324,2.513021399171845
3,9s,16173,644324,2.5100725721841806
3,1p,12272,644324,1.904631831190519
3,9m,12085,644324,1.8756091655750833
3,中,8070,644324,1.2524754626554342
3,發,7831,644324,1.2153823231790217
3,白,7641,644324,1.1858940533023759
3,東,7437,644324,1.1542329635400823
3,北,5936,644324,0.9212756315145796
3,西,5845,644324,0.9071523022578702
3,南,5728,644324,0.8889937360706726
4,5s,27201,620710,4.3822396932544985
4,5m,25459,620710,4.101593336662853
4,5p,25451,620710,4.100304490019494
4,3m,24888,620710,4.009601907493032
4,3p,24539,620710,3.9533759726764512
4,7s,24512,620710,3.949026115255111
4,3s,24342,620710,3.9216381240837106
4,7m,24317,620710,3.9176104783232106
4,7p,24306,620710,3.9158383141885906
4,2m,22709,620710,3.6585523030078457
4,8m,22611,620710,3.6427639316266855
4,8s,22560,620710,3.6345475342752653
4,6m,22505,620710,3.6256867136021653
4,8p,22417,620710,3.611509400525205
4,2s,22406,620710,3.609737236390585
4,6p,22363,620710,3.6028096856825247
4,4s,22282,620710,3.5897601134185044
4,4m,22272,620710,3.5881490551143047
4,4p,22227,620710,3.5808992927454044
4,6s,22064,620710,3.554639042386944
4,2p,17158,620710,2.7642538383464097
4,9p,15681,620710,2.5263005268160654
4,9s,15584,620710,2.510673261265325
4,1s,15553,620710,2.505678980522305
4,1m,15543,620710,2.504067922218105
4,9m,11676,620710,1.8810716759839539
4,1p,11469,620710,1.8477227690870133
4,中,7610,620710,1.2260153694962221
4,白,7520,620710,1.2115158447584218
4,南,7487,620710,1.2061993523545618
4,發,7403,620710,1.1926664625992816
4,西,5640,620710,0.9086368835688163
4,北,5624,620710,0.9060591902820964
4,東,5331,620710,0.8588551819690354
5,5s,25782,588678,4.3796438800159
5,5p,24491,588678,4.160338928922093
5,5m,24255,588678,4.1202491005269435
5,3m,23497,588678,3.991486007630657
5,7p,23278,588678,3.954284005857192
5,7s,23216,588678,3.943751932295754
5,3s,23080,588678,3.920649319322278
5,3p,23052,588678,3.9158928990042092
5,7m,22918,588678,3.893130030339167
5,8m,21462,588678,3.6457961737995985
5,8s,21374,588678,3.630847424228526
5,8p,21368,588678,3.629828191303225
5,4m,21359,588678,3.6282993419152745
5,6p,21258,588678,3.6111422543393843
5,6m,21245,588678,3.6089339163345664
5,6s,21207,588678,3.6024787744743305
5,2m,21118,588678,3.587360152749041
5,4s,21103,588678,3.58481207043579
5,2s,21073,588678,3.579715905809288
5,4p,20957,588678,3.5600107359201467
