各 round 放铳率（按牌种）
放铳率 = 该牌放铳次数 / 该 round 总放铳次数 × 100%
================================================================================

── 東1局 (round=0)  — 总放铳 689,573 次 ──
  6p    3.63%    20,200
  2m    3.62%    20,161
  4m    3.57%    19,867
  4p    3.56%    19,837
  4s    3.55%    19,791
  2p    2.71%    15,124
  9p    2.47%    13,741
  1s    2.46%    13,684
  9s    2.45%    13,669
  1m    2.43%    13,563
  1p    1.90%    10,589
  9m    1.87%    10,442
   中    1.29%     7,176
   發    1.26%     7,037
   白    1.26%     7,029
   南    1.21%     6,767
   北    0.91%     5,060
   西    0.89%     4,945
   東    0.82%     4,590

── 南4局 (round=7)  — 总放铳 498,640 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.46%    22,258
  5p    4.22%    21,023
  5m    4.20%    20,937
  7s    3.96%    19,744
  3p    3.95%    19,717
  7m    3.94%    19,624
  7p    3.93%    19,599
  3m    3.91%    19,514
  3s    3.91%    19,493
  6p    3.76%    18,734
  6m    3.72%    18,531
  6s    3.71%    18,506
  4s    3.70%    18,432
  4p    3.67%    18,282
  4m    3.65%    18,193
  8s    3.64%    18,159
  2m    3.63%    18,114
  8m    3.63%    18,104
  8p    3.61%    17,979
  2s    3.58%    17,860
  2p    2.75%    13,732
  1m    2.35%    11,729
  9p    2.33%    11,603
  9s    2.33%    11,599
  1s    2.30%    11,491
  1p    1.74%     8,695
  9m    1.74%     8,680
   中    1.36%     6,799
   發    1.34%     6,679
   白    1.31%     6,547
   南    1.28%     6,394
   西    0.82%     4,107
   北    0.82%     4,078
   東    0.74%     3,704

── 西1局 (round=8)  — 总放铳 18,182 次 ──
   牌      放铳率        次数
------------------------------
  7s    4.19%       762
  3m    4.13%       751
  7m    4.12%       750
  5m    4.09%       743
  5p    4.04%       734
  7p    3.99%       725
  5s    3.97%       721
  3p    3.95%       719
  3s    3.95%       718
  6p    3.81%       693
  2m    3.79%       689
  6m    3.78%       687
  8s    3.76%       684
  8m    3.73%       678
  4m    3.73%       678
  8p    3.72%       677
  4s    3.58%       651
  4p    3.56%       647
  6s    3.49%       635
  2s    3.39%       617
  2p    2.76%       502
  9s    2.46%       447
  9p    2.45%       446
  1m    2.33%       423
  1s    2.29%       416
  1p    1.81%       329
  9m    1.69%       308
   中    1.33%       241
   白    1.31%       239
   發    1.28%       233
   西    1.23%       224
   東    0.80%       145
   北    0.79%       143
   南    0.70%       127

── 西2局 (round=9)  — 总放铳 7,065 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.67%       330
  5m    4.30%       304
  7p    4.30%       304
  5p    4.15%       293
  3p    4.09%       289
  8p    3.96%       280
  6m    3.77%       266
  7m    3.77%       266
  3s    3.74%       264
  3m    3.69%       261
  6s    3.68%       260
  2s    3.67%       259
  8m    3.64%       257
  6p    3.55%       251
  8s    3.55%       251
  4s    3.52%       249
  2m    3.50%       247
  7s    3.47%       245
  4p    3.38%       239
  4m    3.34%       236
  2p    2.83%       200
  9s    2.59%       183
  9p    2.34%       165
  1m    2.31%       163
  1s    2.28%       161
  9m    2.12%       150
  1p    2.00%       141
   西    1.49%       105
   白    1.27%        90
   發    1.22%        86
   中    1.17%        83
   東    1.02%        72
   南    0.84%        59
   北    0.79%        56

── 西3局 (round=10)  — 总放铳 2,973 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.61%       137
  8m    4.24%       126
  7s    4.17%       124
  5p    4.14%       123
  5m    4.10%       122
  7m    4.00%       119
  4p    3.94%       117
  2m    3.90%       116
  3p    3.87%       115
  2s    3.87%       115
  8s    3.83%       114
  3m    3.80%       113
  3s    3.80%       113
  6m    3.73%       111
  7p    3.70%       110
  6p    3.60%       107
  6s    3.53%       105
  4m    3.50%       104
  8p    3.30%        98
  4s    2.99%        89
  9s    2.89%        86
  9p    2.52%        75
  1m    2.39%        71
  2p    2.35%        70
  1s    2.12%        63
  9m    1.78%        53
  1p    1.72%        51
   西    1.45%        43
   白    1.38%        41
   中    1.24%        37
   發    1.18%        35
   東    0.81%        24
   南    0.77%        23
   北    0.77%        23

── 西4局 (round=11)  — 总放铳 1,264 次 ──
   牌      放铳率        次数
------------------------------
  7p    5.22%        66
  5m    4.51%        57
  6m    4.51%        57
  3p    4.51%        57
  7m    4.43%        56
  3s    4.19%        53
  5p    4.11%        52
  7s    4.03%        51
  3m    3.88%        49
  8m    3.88%        49
  4p    3.80%        48
  4m    3.72%        47
  4s    3.64%        46
  6s    3.48%        44
  8s    3.48%        44
  5s    3.40%        43
  2s    3.40%        43
  8p    3.32%        42
  6p    3.09%        39
  2m    3.09%        39
  2p    2.53%        32
  1m    2.37%        30
  9p    2.37%        30
  9s    1.98%        25
  1s    1.82%        23
   中    1.66%        21
   發    1.58%        20
  9m    1.58%        20
   西    1.58%        20
  1p    1.27%        16
   東    1.11%        14
   白    1.03%        13
   北    0.95%        12
   南    0.47%         6

